Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,1-Jul-19,2227.2,2235,2255,2206.6,2233.05,2239.55,2237.15,2769940,6196758935,129268,1579799,57.03
TCS,EQ,2-Jul-19,2239.55,2244.9,2257,2216.45,2254.3,2252.1,2237.79,1771746,3964796611,97184,816451,46.08
TCS,EQ,3-Jul-19,2252.1,2252.2,2258.8,2232,2234,2237.65,2242.16,1656881,3714996570,87941,739089,44.61
TCS,EQ,4-Jul-19,2237.65,2234,2252,2230.1,2241,2242.65,2241.04,984140,2205501632,59990,352899,35.86
TCS,EQ,5-Jul-19,2242.65,2247,2250,2140,2166.85,2163.1,2179.39,4088470,8910374712,160276,1736073,42.46
TCS,EQ,8-Jul-19,2163.1,2149,2188.8,2132.1,2171.1,2175.4,2168.49,2788062,6045877428,109097,1186748,42.57
TCS,EQ,9-Jul-19,2175.4,2174,2174.4,2104.55,2120,2133.35,2128.96,3977224,8467341968,191613,1817164,45.69
TCS,EQ,10-Jul-19,2133.35,2080,2127.85,2071.3,2105.3,2108.2,2102.52,6343581,13337498421,223857,1665050,26.25
TCS,EQ,11-Jul-19,2108.2,2128,2129,2086.05,2101.95,2102.55,2103.2,2400346,5048402095,164280,967380,40.3
TCS,EQ,12-Jul-19,2102.55,2102.1,2119.75,2093.1,2108,2107.6,2108.31,1560725,3290489159,94025,759972,48.69
TCS,EQ,15-Jul-19,2107.6,2125,2153.6,2098,2135.5,2145.7,2126.77,2900415,6168520112,158215,1436299,49.52
TCS,EQ,16-Jul-19,2145.7,2126,2132.5,2100,2105,2106,2108.89,2735399,5768652610,182859,1518786,55.52
TCS,EQ,17-Jul-19,2106,2108,2125,2092.1,2111.8,2117.25,2111.55,1802969,3807055297,108297,639367,35.46
TCS,EQ,18-Jul-19,2117.25,2116.2,2116.2,2060,2075.55,2065.95,2084.29,3072096,6403142580,167750,1936907,63.05
TCS,EQ,19-Jul-19,2065.95,2077,2097,2062.5,2079.9,2076.95,2080.79,1953177,4064152463,108418,856415,43.85
TCS,EQ,22-Jul-19,2076.95,2077,2117.45,2068.8,2107.15,2109.9,2099.33,1920167,4031065399,113048,889344,46.32
TCS,EQ,23-Jul-19,2109.9,2127.9,2130,2102.4,2119.95,2112.45,2120.71,3538588,7504314835,117545,2468145,69.75
TCS,EQ,24-Jul-19,2112.45,2110,2120.8,2076.5,2097.55,2096.8,2097.5,2413196,5061674806,112922,1199779,49.72
TCS,EQ,25-Jul-19,2096.8,2108.9,2135,2092.55,2128.25,2127.9,2118.42,2544464,5390236891,119553,1320598,51.9
TCS,EQ,26-Jul-19,2127.9,2129.8,2129.8,2095,2112.65,2109.05,2109.59,1720592,3629738982,88967,1052092,61.15
